MOD,CH,12,"PT CRUISER",M1
MOD,CH,13,SEBRING,H
MOD,CH,14,CROSSFIRE,M2
MOD,CH,15,300C,H
MOD,CI,01,ACADIANE,NR
MOD,CI,02,AK,NR
MOD,CI,03,AMI,NR
MOD,CI,04,AX,B
MOD,CI,05,AXEL,NR
MOD,CI,06,AZU,NR
MOD,CI,07,BX,M2
MOD,CI,08,CX,H
MOD,CI,09,"CX SERIE2",H
MOD,CI,10,C15,M1
MOD,CI,11,C25,K2
MOD,CI,12,"C25 COMBI",K2
MOD,CI,13,C35,K2
MOD,CI,14,D,NR
MOD,CI,15,DS,NR
MOD,CI,16,DYANE,NR
MOD,CI,17,GS,NR
MOD,CI,18,GSA,NR
MOD,CI,19,ID,H
MOD,CI,20,KATAR,NR
MOD,CI,21,LN,NR
MOD,CI,22,LNA,NR
MOD,CI,23,MEHARI,B
MOD,CI,24,SM,NR
MOD,CI,25,TANGARA,NR
MOD,CI,26,TRACTION,NR
MOD,CI,27,VISA,NR
MOD,CI,28,XM,H
MOD,CI,29,"2 CV",B
MOD,CI,30,ZX,M1
MOD,CI,31,"DANGEL C25",NR
MOD,CI,32,"DANGEL C15",NR
MOD,CI,33,HY,NR
MOD,CI,34,XANTIA,M2
MOD,CI,35,EVASION,H
MOD,CI,36,JUMPER,K2
MOD,CI,37,JUMPY,K1
MOD,CI,38,SAXO,B
MOD,CI,39,BERLINGO,M1
MOD,CI,40,XSARA,M1
MOD,CI,41,"XSARA PICASSO",M1
MOD,CI,42,C5,M2
MOD,CI,43,C3,B
MOD,CI,44,C8,H
MOD,CI,45,"C3 PLURIEL",B
MOD,CI,46,C2,B
MOD,CI,47,C4,M1
MOD,CI,48,C1,A
MOD,CI,49,C6,H
MOD,CI,50,"C4 PICASSO",M2
MOD,CI,51,C-CROSSER,H
MOD,CI,52,NEMO,M1
MOD,CI,53,"C5 II",M2
MOD,CI,54,"BERLINGO II",M1
MOD,CI,55,"C5 II TOURER",M2
MOD,CI,56,"C3 PICASSO",M1
MOD,CI,57,"C3 II",B
MOD,CI,58,DS3,B
MOD,CI,59,"C4 II",M1
MOD,CI,60,C-ZERO,A
MOD,CI,61,DS4,M1
MOD,CI,62,DS5,M2
MOD,CI,63,"C4 AIRCROSS",M1
MOD,CI,64,"C4 PICASSO II",M2
MOD,CI,65,"C4 CACTUS",M1
MOD,CI,66,SPACETOURER,K1
MOD,CI,67,C-ELYSEE,M1
MOD,CI,68,"C3 III",B
MOD,CI,69,"C3 AIRCROSS",B
MOD,CI,70,"C4 SPACETOURER",M2
MOD,CI,71,"BERLINGO III",M1
MOD,CI,72,"C5 AIRCROSS",M2
MOD,CI,73,"C4 III",M1
MOD,CI,74,"C5 X",M2
MOD,CK,01,FORMENTOR,M1
MOD,CK,02,LEON,M1
MOD,CK,03,ATECA,M1
MOD,CK,04,BORN,M1
